class,x,y,z
bench,6.563093,-4.884749,0.323864
bench,8.688226,-3.564476,0.369379
bench,7.609138,-4.133150,0.292040
bench,11.104765,-5.563760,0.506251
bench,10.725254,-5.084441,0.307989
stop sign,7.751761,-5.357107,0.605654
stop sign,8.316577,-3.978073,0.531894
bench,7.566686,-4.182742,0.212277
stop sign,8.364267,-2.761913,0.503569
bench,7.700663,-3.506236,0.282812
bench,7.634950,-3.076364,0.324227
bench,7.860527,-2.409497,0.241078
bench,10.400968,-5.054154,0.329140
person,14.881388,-7.034780,1.445628
person,14.252369,-7.695104,1.903530
person,6.329610,-0.712012,0.203997
person,10.800495,-9.093771,1.840111
person,10.518951,-8.737977,1.773211
person,9.795200,-8.486706,1.701306
person,8.418762,-8.442042,1.905161
person,7.649334,-8.122182,1.826864
bench,7.492991,-3.134142,0.263399
bench,8.308595,-4.704390,0.408416
bench,6.563093,-4.884749,0.323864
bench,8.688226,-3.564476,0.369379
bench,7.609138,-4.133150,0.292040
bench,11.104765,-5.563760,0.506251
bench,10.725254,-5.084441,0.307989
stop sign,7.751761,-5.357107,0.605654
stop sign,8.316577,-3.978073,0.531894
bench,7.566686,-4.182742,0.212277
stop sign,8.364267,-2.761913,0.503569
bench,7.700663,-3.506236,0.282812
bench,7.634950,-3.076364,0.324227
bench,7.860527,-2.409497,0.241078
bench,10.400968,-5.054154,0.329140
person,14.881388,-7.034780,1.445628
person,14.252369,-7.695104,1.903530
person,6.329610,-0.712012,0.203997
person,10.800495,-9.093771,1.840111
person,10.518951,-8.737977,1.773211
person,9.795200,-8.486706,1.701306
person,8.418762,-8.442042,1.905161
person,7.649334,-8.122182,1.826864
bench,7.492991,-3.134142,0.263399
bench,8.308595,-4.704390,0.408416
bench,6.563093,-4.884749,0.323864
bench,8.688226,-3.564476,0.369379
bench,7.609138,-4.133150,0.292040
